Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,0.01uF,
"C10, C23, C24, C27, C29, C3, C35, C4, C61, C69, C70, C8",0603,12,0.1uF,
"C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C21, C22, C25, C26, C32, C33, C34, C45, C48, C49, C5, C50, C51, C52, C53, C56, C59, C6, C60, C62, C63, C66, C67, C68, C71, C72, C73, C9",0402,38,0.1uF,
"C20, C46, C47, C55, C7",0402,5,1uF,
"C28, C37",0805,2,22uF,
"C30, C31",0402,2,2.2uF,
"C36, C39, C40, C41",0603,4,1uF,
C38,0603,1,10uF,
"C42, C43, C64, C65",0402,4,3pF,
C44,CP_Radial_D16.0mm_P7.50mm,1,4700uF,
C54,0402,1,4.7uF,
"C57, C58",0402,2,8pF,
"D1, D10, D2, D3, D5",0603,5,W,
D13,SS2040FL,1,SS2040FL,
"D14, D18, D21, D23, D25, D29, D40",0603,7,B,
"D15, D19, D22, D24, D26, D30",0603,6,G,
"D27, D28, D4, D7, D9",0603,5,ESD,
D35,0603,1,LED,
D41,0603,1,R,
D6,0603,1,O,
D8,SB34AFC,1,SB34AFC,
"FB1, FB2",0603,2,600Ω/500mA,
J1,USB-4BF-103BS,1,USB_B,
J10,DC_Jack_18742,1,Barrel_Jack_MountingPin,
J11,632722100213,1,USB_C_Receptacle_PowerOnly_6P,
"J12, J13",5x5,2,Conn_01x01,
J2,RJ45_Bel_SI-60062-F,1,RJ45_Bel_SI-60062-F,
"J24, J25, J6, J7",JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,4,Conn_01x04,
J3,PinSocket_1x05_P2.54mm_Vertical,1,Conn_01x05,
J4,PinSocket_1x06_P2.54mm_Horizontal,1,Conn_01x06,
"J5, J8",JST_ZH_B2B-ZR_1x02_P1.50mm_Vertical,2,Conn_01x02,
J9,microSD_HC_Hirose_DM3AT-SF-PEJM5,1,Micro_SD_Card_Det2,
"JP1, JP2",PinHeader_1x02_P2.54mm_Vertical,2,Jumper_2_Bridged,
"R1, R69",0603,2,120,
"R10, R13, R14, R15, R17, R18, R23, R24, R25, R26, R27, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40, R41, R45, R47, R50, R51, R54, R56, R62, R64, R65",0603,32,1k,
"R11, R12",0402,2,22,
R16,2512,1,1mΩ,
"R19, R20, R21, R22, R61",0402,5,1k,
"R2, R52, R55, R63",0603,4,10k,
"R28, R29",0603,2,100,
R3,0603,1,12.3k,
"R4, R5, R6, R7",0402,4,46.9k,
"R42, R59, R60, R8, R9",0603,5,330,
R43,0603,1,10,
R44,0603,1,100k,
R46,0603,1,1.2k,
"R48, R49",0603,2,50k,
R53,0402,1,1M,
R57,0402,1,20k,
R58,0402,1,8.06k,
R66,0603,1,24k,
"R77, R78",0402,2,4.7kΩ,
R79,0402,1,1kΩ,
"SW1, SW10, SW3, SW4, SW5, SW6, SW7, SW9",switch_TVAF06-A020B-R,8,SW_Push,
SW2,swich_SS-12D00G3,1,BOOT_MODE0,
SW8,swich_SS-12D00G3,1,BOOT_MODE1,
U1,LQFP-100_14x14mm_P0.5mm,1,STM32H723VGTx,
"U10, U8",SOT-223-3_TabPin2,2,TPS1117LV33S,
U11,OKL_T6_W12,1,OKL-T/6-W12N-C,
U12,PT86-091940LMR,1,PT86-091940LMR,
"U13, U14",TSOT-23-6_HandSoldering,2,AM8068,
"U15, U16",SOT-23,2,MCP9700x-ETT,
U17,ECS-TXO-2520-33-500-AN-TR,1,~,
U18,USB_C_Receptacle_Nelton_5077CR-16-SMC2-BK-TR,1,USB_Type-C,
"U19, U22, U23",SOT-23,3,CH213K,
U2,LQFP-48-1EP_7x7mm_P0.5mm_EP3.6x3.6mm,1,W6300,
U20,SOT-23-5,1,KIA75S358F,
"U21, U4",SOIC-4_4.55x2.6mm_P1.27mm,2,TLP293,
U3,ESP32-C5-WROOM-1,1,ESP32-C5-WROOM-1,
"U5, U6",SOIC-8_3.9x4.9mm_P1.27mm,2,MCP2562-E-SN,
U7,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,USB3343,
U9,SOT-23-6_Handsoldering,1,CH221K,
Y1,FC2012SN 32.768K-70NNA0KC0,1,FC2012SN 32.768K-70NNA0KC0,
Y2,XRCGB25M000FFS1AR0,1,XRCGB25M000FFS1AR0,
Y3,ECS-600-8-36B-CTN-TR,1,ECS-600-8-36B-CTN-TR,
